algo,samples,mean,std
shor,22,0.38609899210521875,0.06573871048210225
qec,22,0.39022636046368475,0.03848117574807762
xeb,24,0.37108334799724946,0.059456417488866514
qnn,24,0.3443153028992368,0.05167037343831283
shor,24,0.4123871443748729,0.06925241668314686
qec,24,0.4249429751543268,0.02423771382554711
xeb,26,0.41050732838424053,0.06323155773649623
qnn,26,0.37128568298429854,0.05483383929297975
shor,26,0.4599528361283856,0.07906994102110274
qec,26,0.46322592810062646,0.01136771845145156
xeb,28,0.45886104720378657,0.056476709387859994
qnn,28,0.4038734464349738,0.06291762191804844
shor,28,0.4877162463681702,0.08665327104371658
qec,28,0.4907036874165911,0.02885779455943128
xeb,30,0.4851337909230831,0.06736456591364277
qnn,30,0.4415640194084013,0.07091952635670745
shor,30,0.5093815925996903,0.09657215389242875
qec,30,0.514859643496521,0.0389597304720073
xeb,32,0.5021094663466524,0.06783917384749433
qnn,32,0.4823634284575431,0.07375483208356272
shor,32,0.5626410470164831,0.10170825802333425
qec,32,0.5356899322976078,0.0389284932144807
xeb,34,0.538482699940014,0.06271841537847263
qnn,34,0.5162807400515845,0.058748215073003894
shor,34,0.5697644875454755,0.0971201563491992
qec,34,0.5507443823872691,0.03942009052737531
xeb,36,0.5630618029404911,0.060173995912929275
qnn,36,0.554805282183117,0.06130455805080726
shor,36,0.5906423264100245,0.09623575122522171
qec,36,0.6010211440899291,0.048377340271853586
xeb,38,0.595132114490342,0.05593739388800086
qnn,38,0.5778536748246258,0.06996937479286605
shor,38,0.6120119386994035,0.09964225787738965
qec,38,0.6389048137135138,0.045719663896316654
xeb,40,0.6062463205894126,0.0656765758336377
qnn,40,0.5952945133097106,0.07105278255395836
shor,40,0.6131114970687037,0.09120596597526172
qec,40,0.665175445865331,0.05892590842768294
xeb,42,0.6479818290318923,0.05391821309979312
qnn,42,0.6407777946328947,0.057269851955214356
shor,42,0.650975814989094,0.0825568044095728
qec,42,0.6843776655878152,0.05090894521731536
xeb,44,0.6761166784834768,0.05778010984862012
qnn,44,0.6645904411735052,0.0697256237134237
shor,44,0.6857819913929316,0.07147228931279608
qec,44,0.7448211367322064,0.07693443002324375
xeb,46,0.7095036699762565,0.05351445398492333
qnn,46,0.7044569683526168,0.05921601054826428
shor,46,0.7232246909907666,0.08060259404210543
qec,46,0.7476887947760301,0.07035128463546533
xeb,48,0.7579279755599271,0.05017760279901779
qnn,48,0.7267594417678205,0.0686938911875704
shor,48,0.7383250965579217,0.07626289795682181
qec,48,0.7780876469325523,0.07837321923450742
xeb,50,0.7854573309945273,0.050021418049405554
qnn,50,0.7624635356596741,0.06208679065134932
shor,50,0.7963068129671297,0.08279671476369596
qec,50,0.7903650053232654,0.06572657922285625
xeb,52,0.8263586828327711,0.06087872519115316
qnn,52,0.7936880196175451,0.057681700051339
shor,52,0.810923846375359,0.08321056556900826
qec,52,0.8092551421271356,0.06740696705069614
xeb,54,0.823869009521574,0.051425040792761896
qnn,54,0.8361305646881654,0.04729239437065372
shor,54,0.8556303260576715,0.05321505279564231
qec,54,0.8296304843695824,0.054076852379101356
xeb,56,0.8759701574763654,0.04597818797563842
qnn,56,0.8608717052729884,0.05000258507826831
shor,56,0.8839870904798971,0.04246563824224492
qec,56,0.8505578055371177,0.043995389516452856
xeb,58,0.9052887280716726,0.039776971291111025
qnn,58,0.902112135100957,0.03278839055168296
shor,58,0.9075463866093214,0.03272769968919493
qec,58,0.8902222453341048,0.03133721228734233
xeb,60,0.9338024027123555,0.028675670300982486
qnn,60,0.9389040314937397,0.0313618802237455
shor,60,0.9535713672360528,0.028824489865147924
qec,60,0.9276788474717637,0.032288807999400315
xeb,62,0.9717650032145545,0.01917739706491387
qnn,62,0.9667663157044989,0.019869328118540672
shor,62,0.9746450213944203,0.022092115942899566
qec,62,0.9433672439282903,0.027958454574190196
xeb,64,1.0000000000000022,8.975657075985903e-16
qnn,64,1.000000000000004,1.0672009800936448e-15
shor,64,1.0000000000000013,5.29193368584168e-16
qec,64,0.9999999999999994,5.043883840194739e-16
